Client_ID,Total_Value,Frequency,LatestInvoiceDate,Recency
12346,77556.46,12,2011-01-18 10:01:00,326
12347,4921.53,8,2011-12-07 15:52:00,2
12348,2019.4,5,2011-09-25 13:13:00,75
12349,4428.69,4,2011-11-21 09:51:00,19
12350,334.4,1,2011-02-02 16:01:00,310
12351,300.93,1,2010-11-29 15:23:00,375
12352,2849.84,10,2011-11-03 14:37:00,36
12353,406.76,2,2011-05-19 17:47:00,204
12354,1079.4,1,2011-04-21 13:11:00,232
12355,947.61,2,2011-05-09 13:49:00,214
12356,6371.73,6,2011-11-17 08:40:00,23
12357,18287.66,3,2011-11-06 16:07:00,33
12358,3887.07,5,2011-12-08 10:26:00,2
12359,8873.39,10,2011-10-13 12:47:00,58
12360,4252.89,8,2011-10-18 15:22:00,52
12361,511.25,4,2011-02-25 13:51:00,287
12362,5356.23,11,2011-12-06 15:40:00,3
12363,552.0,2,2011-08-22 10:18:00,110
12364,1313.1,4,2011-12-02 10:22:00,8
12365,641.38,2,2011-02-21 14:04:00,291
12366,500.24,1,2010-03-16 10:28:00,634
12367,168.9,1,2011-12-05 16:48:00,4
12368,917.6999999999999,1,2010-03-21 15:56:00,628
12369,1791.15,3,2010-10-22 13:13:00,413
12370,4316.56,7,2011-10-19 14:51:00,51
12371,4067.38,5,2011-10-26 10:16:00,45
12372,1298.04,3,2011-09-29 12:12:00,72
12373,1127.65,3,2011-02-01 13:10:00,311
12374,2989.2200000000003,4,2011-11-14 15:37:00,25
12375,457.5,2,2011-11-29 10:36:00,11
12376,503.15,2,2010-11-15 12:15:00,390
12377,3426.32,4,2011-01-28 15:45:00,315
12378,5416.32,2,2011-08-02 10:34:00,130
12379,1620.22,4,2011-09-19 10:09:00,82
12380,9676.300000000001,11,2011-11-18 11:27:00,22
12381,1845.31,5,2011-12-05 12:44:00,5
12383,1850.56,5,2011-06-08 08:02:00,185
12384,585.27,2,2011-11-11 08:39:00,29
12385,1938.4,1,2010-11-25 15:14:00,379
12386,401.9,2,2011-01-06 12:37:00,338
12387,143.94,1,2010-10-20 16:27:00,415
12388,3901.11,8,2011-11-24 12:30:00,16
12389,1433.33,3,2010-11-02 11:52:00,403
12390,549.84,1,2011-09-21 09:33:00,80
12391,2724.84,6,2011-11-18 12:07:00,22
12392,234.75000000000003,1,2010-04-27 14:04:00,591
12393,2399.4500000000003,6,2011-09-28 15:41:00,72
12394,1272.48,2,2011-10-07 08:08:00,64
12395,4721.17,15,2011-11-20 15:21:00,19
12396,931.43,1,2010-02-03 13:22:00,674
12397,2409.9,2,2011-11-04 09:52:00,36
12398,1635.6599999999999,1,2011-10-25 10:27:00,46
12399,1962.3,7,2011-08-12 13:15:00,119
12400,205.25,1,2010-10-21 13:45:00,414
12401,84.3,1,2011-02-09 13:50:00,303
12402,1256.9,6,2011-01-20 13:49:00,323
12403,1019.36,2,2011-10-21 10:51:00,50
12404,63.24,1,2010-01-26 16:25:00,682
12405,1710.39,1,2011-07-14 08:52:00,149
12406,6390.36,5,2011-11-17 19:22:00,22
12407,1708.1200000000001,5,2011-10-21 10:11:00,50
12408,4340.7699999999995,8,2011-11-07 12:27:00,33
12409,23419.29,7,2011-09-22 10:38:00,79
12410,1013.71,3,2011-02-04 10:39:00,309
12411,346.9,1,2010-10-26 09:25:00,410
12412,2596.93,6,2011-09-26 10:16:00,75
12413,999.45,4,2011-10-04 09:00:00,67
12414,952.41,6,2011-05-06 14:51:00,217
12415,144458.37,28,2011-11-15 14:22:00,24
12416,202.56,1,2010-02-21 10:19:00,657
12417,6797.41,20,2011-12-06 14:52:00,3
12418,2021.2,4,2011-08-19 11:08:00,113
12419,503.01,2,2010-11-19 10:04:00,386
12420,600.39,1,2011-10-07 08:55:00,64
12421,1098.6,6,2011-11-24 09:07:00,16
12422,5231.8,17,2011-09-05 09:48:00,96
12423,2622.39,10,2011-12-09 10:10:00,1
12424,3340.03,4,2011-06-30 12:06:00,163
12425,1741.41,2,2011-09-22 17:31:00,78
12426,1345.21,2,2011-05-29 12:26:00,195
12427,825.8,3,2011-11-18 08:56:00,22
12428,7956.46,9,2011-11-14 08:22:00,26
12429,6204.41,8,2011-11-30 17:22:00,9
12430,256.4,1,2011-10-27 15:09:00,43
12431,10432.22,27,2011-11-04 11:55:00,36
12432,5059.32,5,2011-10-28 11:43:00,43
12433,16794.14,10,2011-12-09 10:02:00,1
12434,1103.43,3,2011-09-16 12:38:00,85
12435,13925.93,6,2011-09-21 09:06:00,80
12436,509.01,1,2011-09-01 12:09:00,100
12437,12683.4,39,2011-12-08 11:35:00,2
12438,2906.85,2,2011-11-25 13:28:00,14
12439,1142.88,2,2010-01-26 12:11:00,683
12440,859.2,2,2010-09-03 13:11:00,462
12441,173.55,1,2010-12-08 10:45:00,367
12442,172.06,1,2011-12-06 14:22:00,3
12443,485.31,1,2009-12-07 15:42:00,732
12444,5005.46,5,2011-11-18 13:23:00,21
12445,434.98,2,2011-11-17 18:43:00,22
12446,1002.3100000000001,1,2011-10-13 12:50:00,58
12447,476.49,1,2011-04-10 13:25:00,243
12448,449.45,1,2011-10-26 13:46:00,44
12449,4835.89,6,2011-11-17 13:46:00,22
12450,688.2,5,2011-07-06 14:41:00,156
12451,12669.88,8,2011-11-29 08:40:00,11
12452,430.57,2,2011-11-23 10:28:00,17
12453,707.09,1,2011-07-28 14:08:00,134
12454,16679.78,5,2011-10-14 17:13:00,56
12455,5879.95,10,2011-09-27 15:31:00,73
12456,3181.04,3,2011-10-26 14:41:00,44
12457,2995.91,8,2011-10-04 13:13:00,66
12458,1777.49,4,2011-09-29 15:25:00,71
12459,454.36,1,2010-04-13 14:53:00,605
12460,326.65,1,2010-09-09 13:51:00,456
12461,826.88,2,2011-09-06 16:57:00,94
12462,1189.59,2,2011-11-21 09:11:00,19
12463,1344.78,4,2011-10-17 13:44:00,53
12464,1212.05,8,2011-11-29 13:33:00,10
12465,742.1899999999999,2,2011-11-22 16:34:00,17
12466,56.73,1,2010-01-26 16:26:00,682
12467,132.8,1,2010-10-12 15:41:00,423
12468,3670.74,5,2011-06-05 11:36:00,188
12469,3070.54,2,2010-07-05 12:40:00,523
12470,211.95,1,2010-01-19 11:01:00,690
12471,39918.19,79,2011-12-07 15:43:00,2
12472,16249.289999999999,19,2011-11-07 14:01:00,32
12473,3928.0499999999997,5,2011-11-10 13:46:00,29
12474,12372.75,31,2011-11-22 14:39:00,17
12475,1149.64,2,2011-10-17 10:10:00,54
12476,14083.91,23,2011-11-24 12:40:00,16
12477,20276.37,9,2011-11-17 09:51:00,23
12478,680.99,1,2011-12-06 09:56:00,4
12479,527.2,1,2011-11-28 13:26:00,11
12480,5464.85,7,2011-11-11 14:52:00,28
12481,12185.51,15,2011-11-17 08:29:00,23
12482,23691.4,29,2010-05-12 16:51:00,576
12483,5097.18,19,2011-11-22 17:02:00,17
12484,6354.1,12,2011-11-07 11:37:00,33
12485,708.1,1,2010-06-28 15:22:00,529
12486,1037.28,1,2010-10-04 12:14:00,432
12487,285.29999999999995,1,2009-12-09 11:36:00,731
12488,1298.66,3,2011-11-30 08:50:00,10
12489,334.93,1,2011-01-07 13:13:00,336
12490,9823.64,21,2011-12-04 16:07:00,5
12491,460.40000000000003,1,2011-11-01 12:18:00,39
12492,715.21,3,2011-10-07 15:15:00,63
12493,433.74,2,2011-06-27 10:17:00,166
12494,1815.27,9,2011-11-24 09:34:00,16
12495,357.4,1,2010-03-09 10:53:00,641
12496,45.34,2,2010-03-29 14:06:00,620
12497,6248.5,3,2011-09-19 12:29:00,82
12498,403.70000000000005,3,2011-11-18 12:53:00,21
12499,393.72,1,2010-05-28 15:12:00,560
12500,5955.21,19,2011-11-16 16:20:00,23
12501,2169.39,1,2011-01-07 12:28:00,337
12502,3723.87,5,2011-09-05 11:52:00,96
12503,1126.0,1,2010-05-04 13:59:00,584
12504,779.05,4,2011-11-21 16:02:00,18
12505,955.2,1,2010-10-27 09:18:00,409
12506,73.5,1,2011-04-21 08:54:00,233
12507,1844.06,4,2011-07-28 17:09:00,134
12508,397.88,2,2011-11-13 15:37:00,26
12509,176.5,1,2011-02-28 14:45:00,284
12510,5178.02,9,2011-07-20 10:15:00,143
12511,3084.02,1,2010-10-07 10:39:00,429
12512,132.18,2,2011-10-04 14:55:00,66
12513,612.29,1,2011-08-19 10:51:00,113
12514,1597.76,2,2011-03-17 16:38:00,267
12515,383.7,1,2010-12-21 15:43:00,353
12516,2648.62,4,2011-09-23 09:13:00,78
12517,2481.6,5,2011-11-11 14:04:00,28
12518,2056.89,5,2011-12-09 10:13:00,1
12519,716.54,2,2011-10-07 09:26:00,64
12520,2634.26,5,2011-09-21 15:23:00,79
12521,599.68,1,2011-07-20 10:51:00,143
12522,192.72,2,2011-10-31 15:30:00,39
12523,4352.35,23,2011-11-20 12:55:00,19
12524,11126.11,17,2011-11-30 15:31:00,9
12525,973.73,3,2010-07-29 16:08:00,498
12526,1316.66,3,2011-12-09 12:09:00,1
12527,735.51,5,2011-09-19 11:55:00,82
12528,1933.48,6,2011-11-30 14:40:00,9
12529,316.48,1,2010-06-29 13:10:00,528
12530,3759.26,9,2011-10-11 12:34:00,60
12531,1933.2,2,2011-11-25 11:12:00,15
12532,349.83000000000004,1,2011-11-09 13:47:00,30
12533,1367.89,2,2010-03-22 10:56:00,628
12534,1089.18,1,2011-08-01 10:26:00,131
12535,716.35,2,2011-09-09 08:48:00,92
12536,12601.830000000002,3,2011-10-27 14:20:00,43
12537,732.94,1,2010-10-27 08:36:00,409
12538,640.45,2,2011-11-10 17:16:00,29
12539,11214.75,7,2011-11-17 13:30:00,22
12540,22254.49,33,2011-11-20 11:31:00,20
12541,981.18,3,2011-11-10 10:40:00,30
12542,481.88,2,2010-08-12 19:12:00,484
12543,980.25,1,2010-09-17 15:51:00,448
12544,372.7,1,2011-11-03 16:15:00,36
12545,1000.39,2,2011-09-25 13:39:00,75
12546,1161.5,2,2011-10-24 12:09:00,47
12547,383.58,3,2011-05-26 12:38:00,198
12548,95.19999999999999,1,2011-06-26 15:35:00,166
12549,1575.68,6,2010-05-13 12:05:00,576
12550,964.83,1,2011-09-21 14:35:00,79
12551,168.0,1,2010-12-17 11:23:00,358
12552,437.82,2,2011-11-01 10:02:00,39
12553,4608.75,12,2011-12-01 16:38:00,8
12554,468.5,1,2010-09-17 12:29:00,449
12555,129.23,1,2010-01-26 16:26:00,682
12556,599.56,2,2011-10-20 13:06:00,50
12557,18096.14,8,2011-11-23 16:59:00,16
12558,269.96,1,2011-12-02 10:41:00,8
12559,561.71,2,2011-02-02 09:49:00,311
12560,2134.01,3,2011-12-04 13:54:00,5
12561,238.85,1,2011-02-10 11:39:00,303
12562,4966.92,9,2011-12-01 17:20:00,8
12563,249.24,1,2010-10-27 09:52:00,409
12564,456.9,1,2011-03-23 14:55:00,261
12565,145.92,1,2011-02-24 10:34:00,289
12566,351.65,1,2011-09-14 14:30:00,86
12567,11767.48,15,2011-11-17 11:02:00,23
12568,70.0,1,2010-03-05 09:15:00,645
12569,4124.69,32,2011-12-07 16:24:00,2
12570,77.52,1,2010-01-26 17:28:00,682
12571,519.61,2,2011-10-31 10:19:00,40
12572,1020.42,2,2011-12-01 09:20:00,9
12573,717.41,5,2011-04-26 15:52:00,227
12574,218.45,1,2011-01-28 09:20:00,316
12575,622.8199999999999,2,2010-09-08 13:09:00,457
12576,2142.72,8,2011-11-04 10:11:00,36
12577,1617.1,8,2011-11-04 13:24:00,35
12578,4642.45,4,2011-11-18 13:30:00,21
12579,440.42,1,2011-09-22 17:15:00,78
12580,1052.9,2,2011-04-07 10:24:00,247
12581,197.71,1,2011-10-31 08:56:00,40
12582,1980.4,4,2011-04-15 08:45:00,239
12583,13591.58,27,2011-12-07 08:07:00,3
12584,2338.15,9,2011-12-06 09:35:00,4
12585,2040.1,2,2011-04-19 13:39:00,234
12586,2062.67,4,2011-11-22 16:24:00,17
12587,144.0,1,2011-12-02 12:47:00,8
12588,958.78,4,2011-10-31 15:01:00,39
12589,4695.66,8,2011-11-11 10:19:00,29
12590,9864.26,2,2011-05-12 14:52:00,211
12591,1338.95,3,2011-01-26 14:35:00,317
12592,2582.66,5,2011-09-08 15:04:00,92
12593,418.09999999999997,3,2011-08-23 12:43:00,109
12594,5090.110000000001,15,2011-11-02 12:20:00,38
12595,299.02,1,2010-07-23 09:10:00,505
12596,618.27,2,2011-10-19 13:02:00,51
12597,3811.22,4,2011-11-20 13:33:00,19
12598,4534.09,11,2011-11-30 12:18:00,10
12599,2296.72,13,2011-11-10 13:34:00,29
12600,4967.42,21,2011-11-11 10:29:00,29
12601,681.26,6,2011-06-03 10:17:00,190
12602,153.12,1,2011-10-12 11:22:00,59
12603,739.1999999999999,1,2011-11-18 10:42:00,22
12604,254.18,2,2011-09-21 14:08:00,79
12605,1232.95,4,2010-11-28 14:18:00,376
12606,21.0,1,2010-01-26 16:23:00,682
12607,1579.51,1,2011-10-10 16:06:00,60
12608,415.79,1,2010-10-31 10:49:00,405
12609,3435.86,9,2011-09-22 16:34:00,78
12610,2099.54,5,2011-11-17 09:34:00,23
12611,1193.32,1,2011-10-18 13:12:00,52
12612,704.0400000000001,1,2011-09-26 15:35:00,74
12613,6817.37,10,2011-10-13 14:59:00,57
12614,315.6,1,2011-03-07 10:22:00,278
12615,5740.98,8,2011-12-07 15:02:00,2
12616,1131.1,3,2011-09-05 15:17:00,95
12617,352.98,1,2011-11-10 14:39:00,29
12618,177.31,1,2011-11-18 11:10:00,22
12619,3781.38,10,2011-11-23 14:52:00,16
12620,1339.41,3,2011-11-25 10:20:00,15
12621,24311.2,35,2011-12-08 11:25:00,2
12622,180.1,1,2011-04-21 16:39:00,232
12623,3747.84,7,2011-03-08 13:50:00,276
12624,641.13,2,2011-08-25 15:04:00,106
12625,5164.88,4,2011-05-12 09:54:00,212
12626,6620.48,9,2011-11-16 16:06:00,23
12627,4478.53,7,2011-11-29 12:07:00,11
12628,786.46,3,2011-12-05 13:15:00,4
12629,1558.22,2,2010-11-19 09:18:00,386
12630,1270.88,2,2011-11-30 10:48:00,10
12631,3481.57,6,2011-10-13 13:53:00,57
12632,804.88,2,2010-07-07 09:39:00,521
12633,5678.16,7,2011-10-12 11:40:00,59
12634,490.0,2,2010-06-22 10:05:00,536
12635,2930.41,4,2011-09-11 11:04:00,90
12636,141.0,1,2009-12-01 09:55:00,739
12637,8283.81,12,2011-10-03 13:46:00,67
12638,921.49,2,2011-11-06 13:11:00,33
12639,1312.37,3,2011-04-15 12:48:00,239
12640,1174.58,3,2011-11-16 11:52:00,24
12641,185.9,1,2011-08-16 13:26:00,115
12642,1013.26,3,2011-11-14 15:03:00,25
12643,8304.82,12,2011-08-03 12:56:00,128
12644,1918.49,4,2011-08-02 10:33:00,130
12645,3539.3,8,2011-11-06 12:38:00,34
12646,1346.97,2,2011-12-05 10:14:00,5
12647,16955.55,36,2011-11-17 12:56:00,22
12648,1112.0,4,2011-07-08 11:55:00,155
12649,2294.65,8,2011-08-24 14:41:00,107
12650,314.44,1,2011-12-06 16:34:00,3
12651,377.75,4,2011-01-09 12:46:00,335
12652,1017.03,2,2011-01-12 15:00:00,331
12653,4160.83,3,2011-07-14 10:41:00,149
12654,601.98,5,2011-11-29 10:10:00,11
12655,261.35,1,2010-10-12 09:17:00,424
12656,6407.83,8,2011-11-22 13:42:00,17
12657,1643.18,4,2011-11-28 15:47:00,11
12658,686.05,1,2011-11-21 10:22:00,19
12659,91.68,1,2011-11-10 11:53:00,30
12660,245.1,1,2011-11-28 13:26:00,11
12661,162.0,1,2010-09-29 16:46:00,436
12662,6726.54,20,2011-12-09 11:59:00,1
12663,239.4,2,2010-03-25 09:40:00,625
12664,6070.04,11,2011-12-01 17:07:00,8
12665,313.6,3,2011-01-19 08:34:00,325
12666,1248.42,1,2010-11-10 16:40:00,394
12667,620.13,1,2011-10-12 17:00:00,58
12668,11383.03,10,2011-11-28 10:56:00,12
12669,2744.0299999999997,3,2011-07-12 09:54:00,151
12670,3760.29,7,2011-11-29 15:23:00,10
12671,2622.481,1,2010-04-12 16:30:00,606
12672,437.05,2,2011-01-14 09:20:00,330
12673,1230.02,3,2011-12-04 13:55:00,5
12674,1970.6,4,2011-11-01 12:12:00,39
12675,957.25,2,2010-06-04 09:49:00,554
12676,2843.09,11,2011-11-15 12:25:00,25
12677,395.1,2,2010-06-02 14:30:00,555
12678,34281.18,21,2011-10-28 13:04:00,42
12679,1113.02,4,2011-10-12 12:30:00,59
12680,880.81,4,2011-12-09 12:50:00,1
12681,29834.76,45,2011-11-25 11:33:00,15
12682,22950.22,52,2011-12-06 10:00:00,4
12683,11633.7,21,2011-12-05 16:31:00,4
12684,2283.63,7,2011-12-02 09:53:00,8
12685,2863.08,6,2011-11-11 13:46:00,28
12686,89.14,1,2010-12-03 09:51:00,372
12687,2138.91,2,2010-08-16 12:12:00,481
12688,4873.8099999999995,1,2011-08-18 08:49:00,114
12689,1247.61,2,2011-11-14 08:31:00,26
12690,389.01,1,2011-05-18 09:09:00,206
12691,1170.4,7,2011-11-11 16:49:00,28
12692,110.95,1,2010-03-12 14:02:00,637
12693,1703.02,7,2011-08-04 17:51:00,127
12694,1843.35,3,2011-09-30 13:06:00,70
12695,1407.1200000000001,7,2011-12-02 13:22:00,7
12696,851.91,2,2010-10-01 10:43:00,435
12697,957.59,3,2011-11-11 08:47:00,29
12698,339.75,1,2010-04-28 15:51:00,590
12699,638.11,1,2010-10-18 12:07:00,418
12700,4939.99,4,2011-12-02 10:47:00,8
12701,2446.41,6,2011-09-21 10:47:00,80
12702,219.0,1,2011-11-20 10:36:00,20
12703,1006.53,4,2011-09-29 17:52:00,71
12704,2340.84,8,2011-12-02 13:15:00,7
12705,11762.1,14,2011-11-24 13:17:00,15
12707,603.42,1,2011-02-21 08:38:00,292
12708,5117.66,18,2011-11-10 09:52:00,30
